SAMPLE_NAME	CLUSTER_1	CLUSTER_2	CLUSTER_3
sample_1	0.29399155089401574	0.38311672270837405	0.32289172639761005
sample_2	0.3375076502434525	0.26241723052049015	0.40007511923605726
sample_3	0.19083420292857617	0.38890713763412466	0.42025865943729906
sample_4	0.22501624740501083	0.46461060761366324	0.3103731449813259
sample_5	0.3630426392027127	0.5915575456893776	0.04539981510790992
sample_6	0.09269394499751782	0.021509676155911615	0.8857963788465706
sample_7	0.296238971575938	0.33120769528840094	0.3725533331356611
sample_8	0.39152040180230707	0.22608602775824366	0.38239357043944927
sample_9	0.13119027439008865	0.7098019183705452	0.1590078072393662
sample_10	0.5021684950059451	0.2774048998807662	0.2204266051132887
sample_11	0.17696742138011612	0.517902978790714	0.3051295998291699
sample_12	0.4717845263470343	0.015595017005343461	0.5126204566476222
sample_13	0.28171114563778576	0.283937914595265	0.4343509397669493
sample_14	0.46120040336589774	0.24318018835149413	0.29561940828260813
sample_15	0.4896951743534497	0.04227466174418164	0.4680301639023686
sample_16	0.6640329146032315	0.20831055259539155	0.1276565328013768
sample_17	0.252476818181661	0.29112328653065217	0.45639989528768693
sample_18	0.28685136029291447	0.6464099443869664	0.066738695320119
sample_19	0.20412182005853982	0.15763741738933135	0.6382407625521288
sample_20	0.262743002387701	0.4837108347749197	0.25354616283737924
sample_21	0.17173381738480004	0.11923755413991437	0.7090286284752856
sample_22	0.1964247627400428	0.2794385513916667	0.5241366858682905
sample_23	0.4675255143504999	0.05529561299506603	0.4771788726544341
sample_24	0.0623526097013841	0.633567165632797	0.3040802246658189
sample_25	0.4208598539983325	0.2606115253864838	0.3185286206151837
sample_26	0.08862180425639624	0.6395579296006201	0.2718202661429837
sample_27	0.4040932724135949	0.162007970818735	0.43389875676767015
sample_28	0.3538040371374769	0.05478559147444622	0.5914103713880768
sample_29	0.4180823122612117	0.19582486278147934	0.38609282495730896
sample_30	0.058742807284295574	0.3601504156339896	0.5811067770817149
sample_31	0.2850021935747184	0.5970871324419149	0.11791067398336673
sample_32	0.6025000816091689	0.24341836191107205	0.1540815564797591
sample_33	0.4085602317956401	0.014006756277018893	0.577433011927341
sample_34	0.004929530362269067	0.7116034798533573	0.2834669897843737
sample_35	0.3777711996433651	0.4944097884837081	0.12781901187292674
sample_36	0.33103906840874897	0.3401657805591907	0.3287951510320602
sample_37	0.1374538986331571	0.5870454886927857	0.27550061267405734
sample_38	0.4591749794590616	0.379466081010542	0.1613589395303965
sample_39	0.38911503786703067	0.18958805569247683	0.4212969064404926
sample_40	0.2696646408526574	0.40905547269643666	0.32127988645090577
sample_41	0.3322796572757644	0.22968481323821333	0.4380355294860222
